string_descr_;Descr.;Descr.
string_loading__s_file___;Loading %s file&#8230||;Lädt %s-Datei&#8230||
string_create;Create;erstellen
string_pan_on;Pan On;Schwenken ein
string_please_wait;Please wait;Bitte warten
string_length___s;Length: %s;Länge: %s
string_bearing_geo;Bearing Geo;Peilung Geo
string_pick_point_on_map__;Pick point on map..;Punkt auf Karte auswählen..
string_zoom_all_with_location;Zoom All With Location;Alles zoomen mit Standort
string_distance;Distance;Entfernung
string_pick_points_on_map_to_measure_distance;Pick points on map to measure distance;Punkte auf der Karte auswählen, um die Entfernung zu messen
string_close;Close;Schließen
string_cancel;Cancel;Abbrechen
string_pan_off;Pan Off;Schwenken Aus
string_trajectory;Trajectory;Trajektorie
string_bearing;Bearing;Peilung
string_pick_points_on_map_to_add_line;Pick points on map to add line;Punkte auf der Karte auswählen, um Linie hinzuzufügen
string_pick_points_on_map_to_add_text;Pick points on map to add text;Wählen Sie Punkte auf der Karte, um Text hinzuzufügen
string_angle_;Angle:;Winkel:
string_select_point;Select point;Punkt auswählen
string_distance_slant;Distance Slant;Entfernung Schräglage
string_what_to_do_with__1_s__2_s_;What to do with %1$s %2$s?;Was soll mit %1$s %2$s gemacht werden?
string_regen_all;Regen All;Alles regenerieren
string_do_you_want_to_delete__1_s_;Do you want to delete %1$s?;Wollen Sie %1$s löschen?
string_zoom_all_points;Zoom All Points;Alle Punkte zoomen
string_move_;Move:;Verschieben:
string_contains__d_points;Contains %d points;Enthält %d Punkte
string_distance_geo;Distance Geo;Abstand Geo
string_code;Code;Code
string_line_;Line:;Linie:
string_pick_points_on_map_to_measure_area;Pick points on map to measure area;Punkte auf der Karte auswählen, um Bereich zu messen
string_zoom_all_cad;Zoom All CAD;Alle CAD zoomen
string_delete;Delete;Löschen
string_mapprovider;MapProvider;MapProvider
string_paralel_move_;Paralel Move:;Paralel verschieben:
string_select_zoom;Select Zoom;Zoom wählen
string_height_average;Height Average;Höhe Durchschnitt
string_height_diff;Height Diff;Höhe Diff
string_area_;Area:;Bereich:
string_ok;OK;OK
string_points;Points;Punkte
string_height_slope;Height Slope;Höhe Neigung
