string_folder;folder;Ordner
string_open_;Open:;Öffnen:
string_cancel;Cancel;Abbrechen
string_can_t_share_file_;Can\'t share file!;Kann Datei nicht freigeben!
string_share_file_with;Share file with;Datei freigeben mit
string_folder_select_;Folder Select:;Ordner auswählen:
string_failed_to_create;Failed to create;Failed to create
string_new_folder;New Folder;Neuer Ordner
string_new_folder_name;New Folder Name;Name des neuen Ordners
string_ok;OK;OK
string_name;Name;Name
string_save_as_;Save As:;Speichern unter:
